filename, language, HTML, TypeScript, CSS, comment, blank, total
c:\Users\Matea\Desktop\IndianaJones\src\app\Aplikacije\SIMP\services\mock.service.spec.ts, TypeScript, 0, 9, 0, 0, 4, 13
c:\Users\Matea\Desktop\IndianaJones\src\app\Aplikacije\SIMP\services\mock.service.ts, TypeScript, 0, 28, 0, 1, 10, 39
c:\Users\Matea\Desktop\IndianaJones\src\app\Aplikacije\SIMP\simp\simp.component.css, CSS, 0, 0, 6, 1, 1, 8
c:\Users\Matea\Desktop\IndianaJones\src\app\Aplikacije\SIMP\simp\simp.component.html, HTML, 719, 0, 0, 0, 5, 724
c:\Users\Matea\Desktop\IndianaJones\src\app\Aplikacije\SIMP\simp\simp.component.spec.ts, TypeScript, 0, 20, 0, 0, 6, 26
c:\Users\Matea\Desktop\IndianaJones\src\app\Aplikacije\SIMP\simp\simp.component.ts, TypeScript, 0, 97, 0, 0, 26, 123
c:\Users\Matea\Desktop\IndianaJones\src\app\Aplikacije\TkSuglasnost\novi-zahtjev\novi-zahtjev.component.css, CSS, 0, 0, 3, 0, 1, 4
c:\Users\Matea\Desktop\IndianaJones\src\app\Aplikacije\TkSuglasnost\novi-zahtjev\novi-zahtjev.component.html, HTML, 222, 0, 0, 7, 2, 231
c:\Users\Matea\Desktop\IndianaJones\src\app\Aplikacije\TkSuglasnost\novi-zahtjev\novi-zahtjev.component.spec.ts, TypeScript, 0, 20, 0, 0, 6, 26
c:\Users\Matea\Desktop\IndianaJones\src\app\Aplikacije\TkSuglasnost\novi-zahtjev\novi-zahtjev.component.ts, TypeScript, 0, 285, 0, 8, 38, 331
c:\Users\Matea\Desktop\IndianaJones\src\app\Aplikacije\TkSuglasnost\novi-zahtjev\tk-suglasnost.service.spec.ts, TypeScript, 0, 9, 0, 0, 4, 13
c:\Users\Matea\Desktop\IndianaJones\src\app\Aplikacije\TkSuglasnost\novi-zahtjev\tk-suglasnost.service.ts, TypeScript, 0, 31, 0, 0, 9, 40
c:\Users\Matea\Desktop\IndianaJones\src\app\Aplikacije\TkSuglasnost\pregled-zahtjeva\pregled-zahtjeva.component.css, CSS, 0, 0, 3, 7, 2, 12
c:\Users\Matea\Desktop\IndianaJones\src\app\Aplikacije\TkSuglasnost\pregled-zahtjeva\pregled-zahtjeva.component.html, HTML, 76, 0, 0, 1, 2, 79
c:\Users\Matea\Desktop\IndianaJones\src\app\Aplikacije\TkSuglasnost\pregled-zahtjeva\pregled-zahtjeva.component.spec.ts, TypeScript, 0, 20, 0, 0, 6, 26
c:\Users\Matea\Desktop\IndianaJones\src\app\Aplikacije\TkSuglasnost\pregled-zahtjeva\pregled-zahtjeva.component.ts, TypeScript, 0, 117, 0, 1, 15, 133
c:\Users\Matea\Desktop\IndianaJones\src\app\Aplikacije\TkSuglasnost\pregled-zahtjeva\pregled-zahtjeva.service.spec.ts, TypeScript, 0, 9, 0, 0, 4, 13
c:\Users\Matea\Desktop\IndianaJones\src\app\Aplikacije\TkSuglasnost\pregled-zahtjeva\pregled-zahtjeva.service.ts, TypeScript, 0, 22, 0, 0, 8, 30
c:\Users\Matea\Desktop\IndianaJones\src\app\Aplikacije\TkSuglasnost\shared.service.spec.ts, TypeScript, 0, 9, 0, 0, 4, 13
c:\Users\Matea\Desktop\IndianaJones\src\app\Aplikacije\TkSuglasnost\shared.service.ts, TypeScript, 0, 15, 0, 0, 6, 21
c:\Users\Matea\Desktop\IndianaJones\src\app\akitaAuth\auth.guard.spec.ts, TypeScript, 0, 12, 0, 0, 4, 16
c:\Users\Matea\Desktop\IndianaJones\src\app\akitaAuth\auth.guard.ts, TypeScript, 0, 18, 0, 1, 5, 24
c:\Users\Matea\Desktop\IndianaJones\src\app\akitaAuth\session.query.ts, TypeScript, 0, 17, 0, 1, 7, 25
c:\Users\Matea\Desktop\IndianaJones\src\app\akitaAuth\session.store.ts, TypeScript, 0, 29, 0, 0, 9, 38
c:\Users\Matea\Desktop\IndianaJones\src\app\app-menu\app-menu.component.css, CSS, 0, 0, 2, 1, 2, 5
c:\Users\Matea\Desktop\IndianaJones\src\app\app-menu\app-menu.component.html, HTML, 10, 0, 0, 0, 1, 11
c:\Users\Matea\Desktop\IndianaJones\src\app\app-menu\app-menu.component.spec.ts, TypeScript, 0, 20, 0, 0, 6, 26
c:\Users\Matea\Desktop\IndianaJones\src\app\app-menu\app-menu.component.ts, TypeScript, 0, 18, 0, 4, 6, 28
c:\Users\Matea\Desktop\IndianaJones\src\app\app-routing.module.ts, TypeScript, 0, 34, 0, 0, 4, 38
c:\Users\Matea\Desktop\IndianaJones\src\app\app.component.css, CSS, 0, 0, 0, 0, 2, 2
c:\Users\Matea\Desktop\IndianaJones\src\app\app.component.html, HTML, 2, 0, 0, 0, 1, 3
c:\Users\Matea\Desktop\IndianaJones\src\app\app.component.spec.ts, TypeScript, 0, 31, 0, 0, 5, 36
c:\Users\Matea\Desktop\IndianaJones\src\app\app.component.ts, TypeScript, 0, 27, 0, 0, 5, 32
c:\Users\Matea\Desktop\IndianaJones\src\app\app.module.ts, TypeScript, 0, 82, 0, 0, 6, 88
c:\Users\Matea\Desktop\IndianaJones\src\app\application-content\application-content.component.css, CSS, 0, 0, 3, 3, 2, 8
c:\Users\Matea\Desktop\IndianaJones\src\app\application-content\application-content.component.html, HTML, 17, 0, 0, 6, 6, 29
c:\Users\Matea\Desktop\IndianaJones\src\app\application-content\application-content.component.spec.ts, TypeScript, 0, 20, 0, 0, 6, 26
c:\Users\Matea\Desktop\IndianaJones\src\app\application-content\application-content.component.ts, TypeScript, 0, 38, 0, 26, 11, 75
c:\Users\Matea\Desktop\IndianaJones\src\app\application\application.component.css, CSS, 0, 0, 11, 0, 3, 14
c:\Users\Matea\Desktop\IndianaJones\src\app\application\application.component.html, HTML, 3, 0, 0, 0, 4, 7
c:\Users\Matea\Desktop\IndianaJones\src\app\application\application.component.spec.ts, TypeScript, 0, 20, 0, 0, 6, 26
c:\Users\Matea\Desktop\IndianaJones\src\app\application\application.component.ts, TypeScript, 0, 25, 0, 5, 6, 36
c:\Users\Matea\Desktop\IndianaJones\src\app\auth-interceptor.spec.ts, TypeScript, 0, 6, 0, 0, 2, 8
c:\Users\Matea\Desktop\IndianaJones\src\app\auth-interceptor.ts, TypeScript, 0, 29, 0, 1, 6, 36
c:\Users\Matea\Desktop\IndianaJones\src\app\component.directive.spec.ts, TypeScript, 0, 7, 0, 0, 2, 9
c:\Users\Matea\Desktop\IndianaJones\src\app\component.directive.ts, TypeScript, 0, 7, 0, 0, 4, 11
c:\Users\Matea\Desktop\IndianaJones\src\app\componentMap.ts, TypeScript, 0, 20, 0, 0, 2, 22
c:\Users\Matea\Desktop\IndianaJones\src\app\footer\footer.component.css, CSS, 0, 0, 9, 0, 3, 12
c:\Users\Matea\Desktop\IndianaJones\src\app\footer\footer.component.html, HTML, 17, 0, 0, 0, 3, 20
c:\Users\Matea\Desktop\IndianaJones\src\app\footer\footer.component.spec.ts, TypeScript, 0, 20, 0, 0, 6, 26
c:\Users\Matea\Desktop\IndianaJones\src\app\footer\footer.component.ts, TypeScript, 0, 11, 0, 0, 5, 16
c:\Users\Matea\Desktop\IndianaJones\src\app\interfaces\adapter.ts, TypeScript, 0, 3, 0, 0, 1, 4
c:\Users\Matea\Desktop\IndianaJones\src\app\interfaces\stranica-component.ts, TypeScript, 0, 3, 0, 0, 1, 4
c:\Users\Matea\Desktop\IndianaJones\src\app\login\login.component.css, CSS, 0, 0, 0, 0, 1, 1
