Date : 2020-04-22 16:32:54
Directory : c:\Users\Matea\Desktop\IndianaJones\src\app
Total : 125 files,  4182 codes, 233 comments, 663 blanks, all 5078 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |         87 |      2,594 |         74 |        584 |      3,252 |
| HTML       |         19 |      1,519 |        148 |         44 |      1,711 |
| CSS        |         19 |         69 |         11 |         35 |        115 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                          |        125 |      4,182 |        233 |        663 |      5,078 |
| Aplikacije                                                                                                                 |         38 |      2,881 |        167 |        317 |      3,365 |
| Aplikacije\Admin                                                                                                           |         14 |        688 |        119 |        117 |        924 |
| Aplikacije\Admin\add-aplikacija-modal                                                                                      |          4 |         87 |          0 |         18 |        105 |
| Aplikacije\Admin\add-app-to-user-modal                                                                                     |          4 |         83 |          0 |         16 |         99 |
| Aplikacije\Admin\admin                                                                                                     |          4 |        441 |        119 |         56 |        616 |
| Aplikacije\Admin\services                                                                                                  |          2 |         77 |          0 |         27 |        104 |
| Aplikacije\SIMP                                                                                                            |         10 |      1,352 |         24 |         93 |      1,469 |
| Aplikacije\SIMP\modem-info-modal                                                                                           |          4 |         86 |          0 |         14 |        100 |
| Aplikacije\SIMP\services                                                                                                   |          2 |        185 |         17 |         30 |        232 |
| Aplikacije\SIMP\simp                                                                                                       |          4 |      1,081 |          7 |         49 |      1,137 |
| Aplikacije\TkSuglasnost                                                                                                    |         14 |        841 |         24 |        107 |        972 |
| Aplikacije\TkSuglasnost\novi-zahtjev                                                                                       |          6 |        570 |         15 |         60 |        645 |
| Aplikacije\TkSuglasnost\pregled-zahtjeva                                                                                   |          6 |        247 |          9 |         37 |        293 |
| akitaAuth                                                                                                                  |          4 |         76 |          2 |         25 |        103 |
| app-menu                                                                                                                   |          4 |         50 |          5 |         15 |         70 |
| application                                                                                                                |          4 |         59 |          5 |         19 |         83 |
| application-content                                                                                                        |          4 |         78 |         35 |         25 |        138 |
| footer                                                                                                                     |          4 |         57 |          0 |         17 |         74 |
| interfaces                                                                                                                 |          2 |          6 |          0 |          2 |          8 |
| login                                                                                                                      |          4 |        125 |          0 |         19 |        144 |
| models                                                                                                                     |         14 |        107 |          1 |         34 |        142 |
| navigation                                                                                                                 |          4 |         65 |         17 |         16 |         98 |
| permissions                                                                                                                |          4 |         69 |          0 |         21 |         90 |
| protected                                                                                                                  |          4 |         37 |          0 |         14 |         51 |
| services                                                                                                                   |          8 |        150 |          0 |         46 |        196 |
| stranice                                                                                                                   |          8 |         79 |          0 |         26 |        105 |
| stranice\test1                                                                                                             |          4 |         43 |          0 |         13 |         56 |
| stranice\test2                                                                                                             |          4 |         36 |          0 |         13 |         49 |
| tab-content                                                                                                                |          4 |         41 |          0 |         14 |         55 |
| test                                                                                                                       |          4 |         32 |          0 |         13 |         45 |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                   | language   | code       | comment    | blank      | total      |
